item,accepted_steps,E_R,E_updates,field_Q,max_component_nmae,classification
SR-SHORT-R2 first E,0,1.635140577517076e-05,3000,,,strict_tol_first_step_fail
A-P,128,9.993888243905082e-05,1220,0.1032817683349191,0.051269250161268265,Q_cross=57; nmae_cross=66
B-R,128,9.909581555173555e-05,95,0.09909360457215889,0.050785114883489905,Q_cross=58; nmae_cross=66
B-P,128,9.984825954148422e-05,1218,0.09848817137878926,0.049254241513757416,Q_cross=58; nmae_cross=66
B-R2,128,9.977868324952107e-05,121,0.09772935982406493,0.04924114847047535,Q_cross=58; nmae_cross=66
