abs_cos_theta,cell_anisotropy,cell_max_m,cell_min_m,curl_rms,field_rms,global_rel_l2,k_dot_e0_abs_max,k_dot_e0_rel_max,k_dot_e0_rel_mean,k_max,k_mean,kd_axis_max,kd_axis_mean,khat_z_abs,macro_mre_eq5,macro_nmae,max_abs_amp,max_abs_exey_amp,max_abs_ez_amp,max_abs_ez_over_xy,mean_abs_ez_amp,phi,sample_index,theta,theta_rejection_margin,x_active_fraction_0p01,x_active_fraction_0p1,x_curl_max,x_mre_eq5,x_nmae,x_norm_rms,x_raw_mean_abs,x_raw_rms,x_rel_l2,x_scale,y_active_fraction_0p01,y_active_fraction_0p1,y_curl_max,y_mre_eq5,y_nmae,y_norm_rms,y_raw_mean_abs,y_raw_rms,y_rel_l2,y_scale,z_active_fraction_0p01,z_active_fraction_0p1,z_curl_max,z_mre_eq5,z_nmae,z_norm_rms,z_raw_mean_abs,z_raw_rms,z_rel_l2,z_scale,z_scale_over_xy_mean
0.9652638371954342,1.2644867383437197,0.0007669960835294985,0.0006065671234592334,8837.0546875,15.613985061645508,0.5763908624649048,1.6361692654832027e-16,5.887988965657704e-17,1.6556730254966366e-17,1031.7708469838071,561.9246718463526,0.7638752430914779,0.4160229440098419,0.9652638371954342,1.6121935844421387,0.14776896685361862,4.981532786779591,4.981532786779591,1.7568992723808328,0.35268246693938043,0.925096329464111,-2.68474101691986,800,0.2643450276329999,0.8152638371954342,0.97869873046875,0.799041748046875,20007.908203125,1.0064932107925415,0.04098065197467804,0.4502662107002596,7012.623442303875,9008.885012315899,0.12616275250911713,20007.908203125,0.970245361328125,0.783721923828125,27083.212890625,0.8870033025741577,0.033782266080379486,0.4557200533760324,9501.22456132256,12342.363223215882,0.09363410621881485,27083.212890625,0.9835205078125,0.826263427734375,1725.6558837890625,2.943084239959717,0.36854398250579834,0.5139818059008388,709.7992411346627,886.9557274153055,0.9106366038322449,1725.6558837890625,0.0732900743795668
0.9786296604090798,1.9376040579485982,0.0006809280614699124,0.00035142786715198777,7682.12890625,8.562435150146484,0.14285315573215485,1.5254519230954794e-16,3.5469970980946865e-17,8.879463553828447e-18,1025.3454901798777,587.3012424234266,0.35263449784635065,0.2019833126395188,0.9786296604090798,0.8284762303034464,0.0393473245203495,4.8489570129367285,4.8489570129367285,0.8853113170487418,0.18257767901154492,0.44402223703133104,0.07464517540280591,801,0.20710814368936964,0.8286296604090798,0.979888916015625,0.78741455078125,28938.197265625,0.5677745342254639,0.024834848940372467,0.3811226127320201,8532.451971143295,11029.001346341975,0.08671664446592331,28938.197265625,0.9676513671875,0.713592529296875,19385.50390625,1.0252041816711426,0.055641479790210724,0.36679886481652185,5291.015036375664,7110.580827940345,0.19693511724472046,19385.50390625,0.980224609375,0.7916259765625,5760.111328125,0.8924499750137329,0.03756564483046532,0.38217707375476834,1706.9092920821192,2201.3824930484902,0.12765561044216156,5760.111328125,0.23839694346415075
0.8116813961942293,1.24975724946392,0.0004975960349946918,0.0003981541497023797,5423.5712890625,9.492915153503418,0.18290217220783234,2.8424889132587573e-16,5.847519911286082e-17,1.695029210559081e-17,1037.9844238146393,562.5938278191081,0.33544990632087807,0.1818158755649358,0.8116813961942293,2.1902827819188437,0.04929544652501742,4.354297353403366,4.354297353403366,2.602261022126754,0.5976305270224136,0.9131547166921015,1.9212046381501162,802,0.6237713342277289,0.6616813961942293,0.980194091796875,0.7972412109375,15163.2568359375,0.5828893184661865,0.06164822727441788,0.37813059546163885,4294.208507216672,5733.691337569896,0.21600426733493805,15163.2568359375,0.88311767578125,0.608001708984375,15604.900390625,4.574581146240234,0.04550729691982269,0.35029391631345913,3486.736646921232,5466.301669196486,0.16297274827957153,15604.900390625,0.959014892578125,0.622314453125,14292.8544921875,1.4133778810501099,0.04073081538081169,0.35323474425163326,3311.918510284376,5048.732801517914,0.15843117237091064,14292.8544921875,0.9290679573002387
0.5331730745920654,1.2832524154636933,0.0007322088887770733,0.0005705883581076256,18784.37890625,26.09041976928711,0.21153493225574493,3.822018225486563e-16,6.212243059819546e-17,2.0145461429397162e-17,1036.6204785971352,558.6949758478412,0.4760432903242342,0.25656737454208334,0.5331730745920654,1.1972400744756062,0.0802608293791612,7.899752185553891,4.871949884231766,7.899752185553891,1.6214764874987142,4.4016573592168005,0.31327997457629886,803,2.133143130278549,0.3831730745920654,0.990814208984375,0.908050537109375,25017.9453125,1.0019818544387817,0.0594339445233345,0.5440625765550664,11855.257538735468,13611.327789325955,0.14602355659008026,25017.9453125,0.991363525390625,0.91357421875,50945.86328125,0.7010318040847778,0.0437246672809124,0.5652457918450849,25349.281187629294,28796.93483656022,0.10726788640022278,50945.86328125,0.98895263671875,0.891754150390625,12865.88671875,1.8887065649032593,0.1376238763332367,0.515726477698587,5590.851333243909,6635.27843971657,0.33278587460517883,12865.88671875,0.33873727389199265
0.9993650697506453,2.4389768626962707,0.0007754667172433503,0.0003179475496893716,6173.599609375,11.29223918914795,0.9746663570404053,3.865701855958206e-17,7.61740003536655e-18,2.1764825623616517e-18,1002.4392226553506,483.44077542950447,0.7768646849589602,0.37465420068612165,0.9993650697506453,1.265523095925649,0.212314339975516,4.830527749621338,4.830527749621338,0.21627217770184853,0.044771956380708494,0.10884762860012591,-2.2280224458700975,804,0.035636987811452414,0.8493650697506453,0.978973388671875,0.814300537109375,19072.158203125,1.4144282341003418,0.04626500606536865,0.3776376734672483,5774.939493630338,7202.365450714561,0.14747768640518188,19072.158203125,0.996124267578125,0.839447021484375,21474.462890625,0.29639190435409546,0.045285023748874664,0.36802135874347125,6309.988610013737,7903.061011180245,0.15204650163650513,21474.462890625,0.990386962890625,0.818695068359375,190.9167938232422,2.0857491493225098,0.5453929901123047,0.45516024183456477,70.65519390307304,86.89773404133608,1.4815118312835693,190.9167938232422,0.00941714937882559
0.24468434627072144,2.046767674479364,0.0007156386373963142,0.0003496433162979043,12611.025390625,19.248315811157227,0.471486896276474,3.711301297275925e-16,4.725092336537744e-17,1.8104623643811902e-17,1023.6741851617958,565.967660188871,0.5500391775560305,0.3041049494516604,0.24468434627072144,1.967346429824829,0.1864902228116989,9.81299909760821,4.996406468577112,9.81299909760821,1.9640113668339678,5.252313342273348,2.456503062322402,805,1.8179904564226936,0.09468434627072145,0.986236572265625,0.8590087890625,9175.3466796875,1.9654567241668701,0.28554826974868774,0.49505602258424897,3722.420516621054,4542.310632325249,0.6758044362068176,9175.3466796875,0.98858642578125,0.88427734375,17216.751953125,2.828335762023926,0.18560872972011566,0.5578373924887955,8113.692697064083,9604.14801910073,0.39929741621017456,17216.751953125,0.98358154296875,0.714385986328125,39963.01953125,1.1082468032836914,0.08831366896629333,0.4775694055405426,14520.451158731448,19085.115485420953,0.23701372742652893,39963.01953125,3.0284078645845303
0.7305505819136544,1.4220733153099285,0.0007152627194176774,0.0005029717608207788,5050.6650390625,13.825791358947754,0.14081253111362457,1.8948920006485205e-16,3.6748707383699794e-17,1.3842612282823044e-17,840.3695067127218,393.5029885051875,0.3243519169790781,0.15187777238362465,0.7305505819136544,0.8648217419783274,0.041192460184295975,4.882664786804885,4.882664786804885,4.110422637922713,0.8418400233067174,1.927288639627466,-1.327181451529371,806,2.3899242198619146,0.5805505819136544,0.990447998046875,0.814605712890625,16673.3203125,0.2831832468509674,0.026636825874447823,0.3986050220868946,5181.003535405895,6646.069210013156,0.08967643976211548,16673.3203125,0.97296142578125,0.672760009765625,9014.76953125,1.517455816268921,0.06316204369068146,0.3775760137785173,2480.9865298301247,3403.7607451676395,0.19930067658424377,9014.76953125,0.9683837890625,0.713958740234375,11933.4521484375,0.793826162815094,0.033778510987758636,0.381919046358025,3335.6540362220458,4557.612664088048,0.11499613523483276,11933.4521484375,0.9291038937518314
0.8069382635492072,1.8210553511980423,0.0007974743615020801,0.00043791879306547975,5195.63916015625,14.783696174621582,0.20588049292564392,1.630684388805598e-16,3.6787559930379424e-17,9.530042670567874e-18,981.7848155629296,406.7191743404462,0.6317908762270612,0.2617289037899435,0.8069382635492072,0.9713038404782613,0.07054329911867778,4.8128000003536,4.8128000003536,2.382552512513419,0.49504498677243414,1.0419888076065227,-1.0243248351176364,807,0.6318465204456564,0.6569382635492071,0.9974365234375,0.90142822265625,8483.5634765625,0.6221895813941956,0.07596749067306519,0.4632300234811518,3269.090888027241,3929.8413088902557,0.1986413151025772,8483.5634765625,0.978546142578125,0.712677001953125,15526.982421875,1.0689291954040527,0.07110677659511566,0.3989311253857139,4414.286080286454,6194.19657136654,0.21920019388198853,15526.982421875,0.975006103515625,0.6365966796875,12927.580078125,1.2227927446365356,0.06455563008785248,0.40322345504054286,3681.1682576198746,5212.703503815959,0.20176617801189423,12927.580078125,1.0768251694740743
0.9788762629128607,1.837225238744832,0.0006767506493631138,0.00036835475318500464,7748.8505859375,13.125821113586426,0.35349929332733154,7.365315797494297e-17,1.3355648073438109e-17,4.743377496712889e-18,1022.6591195244841,546.535695421992,0.6774657969182106,0.36205538421783334,0.9788762629128607,2.343874752521515,0.08664253602425258,4.990881753389238,4.990881753389238,1.043882905963928,0.20915801205970103,0.64664178632317,1.5674572080205813,808,0.20590545200724492,0.8288762629128607,0.98236083984375,0.6776123046875,29710.689453125,0.8327808976173401,0.08154971897602081,0.3408877104177903,7294.153963022665,10128.00890252683,0.31362271308898926,29710.689453125,0.970916748046875,0.62152099609375,24401.3125,1.6730087995529175,0.049466900527477264,0.35334050208252277,6198.752761403561,8621.97201161863,0.20776818692684174,24401.3125,0.9713134765625,0.621307373046875,5075.85400390625,4.525834560394287,0.12891098856925964,0.3534745295412436,1290.1400285474167,1794.1851057048,0.4810774326324463,5075.85400390625,0.1876054782930875
0.3971270836451632,1.269657410049994,0.00045857812192478793,0.0003611825664899093,23485.109375,39.2791633605957,0.17095467448234558,5.135588093652177e-16,6.811364643844934e-17,1.802823562544763e-17,942.2363004952314,485.55611052994726,0.30257218597248803,0.15592243017821267,0.3971270836451632,0.7616292039553324,0.07655378555258115,12.791618862551966,4.914444950475165,12.791618862551966,2.6028613590055936,6.148147905282538,-1.8214534900434665,809,1.1624119533429949,0.2471270836451632,0.9901123046875,0.89886474609375,63224.359375,0.3633561134338379,0.05671517178416252,0.583563817940045,31299.858991588757,36895.44853445339,0.12455756217241287,63224.359375,0.989898681640625,0.898406982421875,23957.734375,1.0685272216796875,0.08026959002017975,0.5796089656579682,11756.328206984082,13886.117639736443,0.1799711436033249,23957.734375,0.990081787109375,0.89990234375,17447.474609375,0.8530042767524719,0.09267659485340118,0.5747300887953533,8499.011792389116,10027.58863132887,0.20035728812217712,17447.474609375,0.40025362683779314
